Hotel Name,Address,Area,City,District,State,Pincode,Latitude,Longitude
Emirates Beach Villa,"House,No 12, Azure Aquamarine, SH 49",NEMELLI,Chennai,CHENNAI,Tamil Nadu,603104,12.69030460063548,80.22007954639336
S S Residency,"No 4 & 5, Nemili Rd, Sri Ram Nagar",SRIPERUMBUDUR,Chennai,KANCHIPURAM,Tamil Nadu,602105,12.98140764588039,79.95516680674653
The Landmark Villa,The Landmark Villa,VADANEMELLI,Chennai,CHENNAI,Tamil Nadu,603104,12.74163134098669,80.23170865385268
Sri Vishnu Residency,"No 34 & 35,Chellaperumal Nagar, Nemili Road",SRIPERUMBUDUR,Kanchipuram,KANCHIPURAM,Tamil Nadu,602105,12.977968393103263,79.95746434367454
Hotel Royal Residence,"3rd, 107/A 22nd Cross,HSR Club Road",HSR LAYOUT,Bangalore,BENGALURU,Karnataka,560102,12.908172331529885," 77.64367801349245"
Kal Residency ,"No.3/340,Market road ",KELAMBAKKAM,Kanchipuram,KANCHIPURAM,Tamil Nadu,603103,12.786002619794715,80.21881400000001
Hotel Hill Park,"Rama Talkies Rd, CBM Compound",DWARAKA NAGAR,Visakhapatnam,VISAKHAPATNAM,Andhra Pradesh,530016,17.728737099999996,83.31219947116415
Kota hotel,"Ward 83, 293, Raja Street, Uppukinar Lane, South",RAJA STREET TOWN HALL,Coimbatore,COIMBATORE,Tamil Nadu,641001,10.994182125591733,76.95648666441782
Platinum Arrow Hub,"Om Serman Towers No.1023, 5A, Bangalore Trunk Road",SRIPERUMBUDUR,Chennai,KANCHIPURAM,Tamil Nadu,602105,12.97176762752228,79.95209859325347
Ayyans Residency,"No 1, KTV Nagar, Old Mahabalipuram Road, Siruseri",KELAMBAKKAM,Chengalpattu,CHENGALPATTU,Tamil Nadu,603103,12.78986665659531,80.22369342883619
Sagar Home Stay,"No.66, Alagarasan Nagar, Nagai Rd",CHOLAN NAGAR,Thanjavur,THANJAVUR,Tamil Nadu,613001,10.777223282608087,79.16224330000001
Oxygen Rain Forest ,Oxygen Rain Forest  ,IDUKKI,Idukki,IDUKKI,Kerala,685606,9.978796420007729,76.86148280912673
Premier Suites Business Hotel,"1st Cross Road, BEML Layout 6th Stage, Brookefield",BROOKEFIELD,Bangalore,BENGALURU,Karnataka,560066,12.960260893805016,77.71711438835902
Zephyr Villa,"Zephyr Villa, Kovalam Road",VADANEMELLI,Chennai,CHENNAI,Tamil Nadu,603104,12.713028237254266,80.22298636107003
Arihanth Inn,"166, M P Sarathy nagar",KAGGITHAPATTRAI,Vellore,VELLORE,Tamil Nadu,632012,12.93477800372575,79.14745226256832
